Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 6123, 6123, 6123, 6123
1, 2, 56123, 56123, 6123, 6123
1, 3, 106123, 106123, 6123, 6123
1, 4, 156123, 156123, 6123, 6123
2, 5, 6123, 6123, 6123, 6123
2, 6, 56123, 56123, 6123, 6123
2, 7, 106123, 106123, 6123, 6123
2, 8, 156123, 156123, 6123, 6123
3, 9, 14097, 14097, 14097, 14097
3, 10, 114097, 114097, 14097, 14097
4, 11, 24062, 24062, 24062, 24062
5, 12, 12242, 12242, 12242, 12242
5, 13, 62242, 62242, 12242, 12242
5, 14, 112242, 112242, 12242, 12242
5, 15, 162242, 162242, 12242, 12242
6, 16, 13217, 13217, 13217, 13217
6, 17, 63217, 63217, 13217, 13217
6, 18, 113217, 113217, 13217, 13217
6, 19, 163217, 163217, 13217, 13217
7, 20, 20986, 20986, 20986, 20986
7, 21, 70986, 70986, 20986, 20986
7, 22, 120986, 120986, 20986, 20986
7, 23, 170986, 170986, 20986, 20986
8, 24, 29914, 29914, 29914, 29914
8, 25, 79914, 79914, 29914, 29914
8, 26, 129914, 129914, 29914, 29914
8, 27, 179914, 179914, 29914, 29914
9, 28, 29191, 29191, 29191, 29191
9, 29, 129191, 129191, 29191, 29191
10, 30, 44279, 44279, 44279, 44279
10, 31, 144279, 144279, 44279, 44279
11, 32, 68067, 68067, 68067, 68067
12, 33, 113090, 113090, 113090, 113090
13, 34, 138159, 138159, 138159, 138159
