Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 1561, 3123, 1561, 3123
1, 2, 51561, 83582, 1561, 33582
1, 3, 101561, 125191, 1561, 25191
1, 4, 151561, 154618, 1561, 4618
2, 5, 1561, 3123, 1561, 3123
2, 6, 51561, 86705, 1561, 36705
2, 7, 101561, 125605, 1561, 25605
2, 8, 151561, 156350, 1561, 6350
3, 9, 7109, 14220, 7109, 14220
3, 10, 107109, 136288, 7109, 36288
4, 11, 12092, 24185, 12092, 24185
5, 12, 8668, 17339, 8668, 17339
5, 13, 53120, 95141, 3120, 45141
5, 14, 103120, 140397, 3120, 40397
5, 15, 153120, 161830, 3120, 11830
6, 16, 10715, 21433, 10715, 21433
6, 17, 53608, 99235, 3608, 49235
6, 18, 103608, 141786, 3608, 41786
6, 19, 153608, 163459, 3608, 13459
7, 20, 13099, 38295, 13099, 38295
7, 21, 55992, 104004, 5992, 54004
7, 22, 105992, 149674, 5992, 49674
7, 23, 155992, 168228, 5992, 18228
8, 24, 16063, 86245, 16063, 86245
8, 25, 58956, 125629, 8956, 75629
8, 26, 108956, 155602, 8956, 55602
8, 27, 158956, 174156, 8956, 24156
9, 28, 16762, 46976, 16762, 46976
9, 29, 113156, 149681, 13156, 49681
10, 30, 22806, 97340, 22806, 97340
10, 31, 119200, 161769, 19200, 61769
11, 32, 32594, 80459, 32594, 80459
12, 33, 53605, 122482, 53605, 122482
13, 34, 64639, 162573, 64639, 162573
