50	1	50	1	1
50	1	50	2	1
50	2	50	3	1
50	2	50	4	1
50	1	50	5	1
50	1	50	6	1
50	1	50	7	1
50	1	50	8	1
50	1	50	9	1
50	1	50	10	1
90	1	90	11	2
90	3	90	12	2
90	2	90	13	2
90	4	90	14	2
90	3	90	15	2
90	1	90	16	2
90	1	90	17	2
90	4	90	18	2
90	1	90	19	2
90	1	90	20	2
280	1	280	21	3
280	2	280	22	3
280	8	280	23	3
280	10	280	24	3
280	14	280	25	3
280	10	280	26	3
280	5	280	27	3
280	8	280	28	3
280	1	280	29	3
280	2	280	30	3
350	10	350	31	4
350	3	350	32	4
350	2	350	33	4
350	3	350	34	4
350	2	350	35	4
350	45	350	36	4
350	8	350	37	4
350	15	350	38	4
350	12	350	39	4
350	4	350	40	4
350	1	350	41	5
350	5	350	42	5
350	9	350	43	5
350	4	350	44	5
350	10	350	45	5
350	18	350	46	5
350	3	350	47	5
350	2	350	48	5
350	8	350	49	5
350	24	350	50	5
-
40	1	40	1	1
40	1	40	2	1
40	1	40	3	1
40	1	40	4	1
40	2	40	5	1
40	1	40	6	1
40	2	40	7	1
40	1	40	8	1
40	1	40	9	1
40	1	40	10	1
100	1	100	11	2
100	5	100	12	2
100	7	100	13	2
100	4	100	14	2
100	1	100	15	2
100	4	100	16	2
100	1	100	17	2
100	1	100	18	2
100	2	100	19	2
100	2	100	20	2
300	5	300	21	3
300	2	300	22	3
300	12	300	23	3
300	11	300	24	3
300	5	300	25	3
300	2	300	26	3
300	10	300	27	3
300	1	300	28	3
300	1	300	29	3
300	41	300	30	3
360	2	360	31	4
360	2	360	32	4
360	1	360	33	4
360	7	360	34	4
360	3	360	35	4
360	7	360	36	4
360	6	360	37	4
360	3	360	38	4
360	7	360	39	4
360	7	360	40	4
960	15	960	41	5
960	12	960	42	5
960	4	960	43	5
960	1	960	44	5
960	42	960	45	5
960	7	960	46	5
960	42	960	47	5
960	68	960	48	5
960	7	960	49	5
960	25	960	50	5
-
140	14	140	1	1
140	3	140	2	1
140	8	140	3	1
140	1	140	4	1
140	5	140	5	1
140	3	140	6	1
140	1	140	7	1
140	12	140	8	1
140	5	140	9	1
140	1	140	10	1
180	17	180	11	2
180	1	180	12	2
180	1	180	13	2
180	1	180	14	2
180	2	180	15	2
180	4	180	16	2
180	1	180	17	2
180	1	180	18	2
180	1	180	19	2
180	2	180	20	2
490	15	490	21	3
490	2	490	22	3
490	26	490	23	3
490	3	490	24	3
490	1	490	25	3
490	33	490	26	3
490	16	490	27	3
490	8	490	28	3
490	4	490	29	3
490	12	490	30	3
490	20	490	31	4
490	2	490	32	4
490	20	490	33	4
490	19	490	34	4
490	11	490	35	4
490	11	490	36	4
490	17	490	37	4
490	5	490	38	4
490	2	490	39	4
490	10	490	40	4
980	3	980	41	5
980	30	980	42	5
980	6	980	43	5
980	4	980	44	5
980	37	980	45	5
980	16	980	46	5
980	18	980	47	5
980	15	980	48	5
980	32	980	49	5
980	12	980	50	5
-
100	1	100	1	1
100	1	100	2	1
100	4	100	3	1
100	7	100	4	1
100	4	100	5	1
100	1	100	6	1
100	1	100	7	1
100	1	100	8	1
100	2	100	9	1
100	1	100	10	1
150	10	150	11	2
150	1	150	12	2
150	1	150	13	2
150	1	150	14	2
150	9	150	15	2
150	5	150	16	2
150	2	150	17	2
150	8	150	18	2
150	7	150	19	2
150	1	150	20	2
250	3	250	21	3
250	3	250	22	3
250	10	250	23	3
250	6	250	24	3
250	21	250	25	3
250	20	250	26	3
250	11	250	27	3
250	3	250	28	3
250	1	250	29	3
250	1	250	30	3
280	10	280	31	4
280	8	280	32	4
280	5	280	33	4
280	6	280	34	4
280	1	280	35	4
280	5	280	36	4
280	1	280	37	4
280	2	280	38	4
280	1	280	39	4
280	5	280	40	4
350	1	350	41	5
350	8	350	42	5
350	17	350	43	5
350	10	350	44	5
350	4	350	45	5
350	4	350	46	5
350	10	350	47	5
350	20	350	48	5
350	3	350	49	5
350	3	350	50	5
-
120	5	120	1	1
120	1	120	2	1
120	1	120	3	1
120	2	120	4	1
120	1	120	5	1
120	5	120	6	1
120	1	120	7	1
120	1	120	8	1
120	3	120	9	1
120	1	120	10	1
200	1	200	11	2
200	5	200	12	2
200	3	200	13	2
200	4	200	14	2
200	14	200	15	2
200	9	200	16	2
200	4	200	17	2
200	1	200	18	2
200	1	200	19	2
200	6	200	20	2
600	15	600	21	3
600	46	600	22	3
600	23	600	23	3
600	7	600	24	3
600	12	600	25	3
600	26	600	26	3
600	29	600	27	3
600	3	600	28	3
600	17	600	29	3
600	13	600	30	3
700	27	700	31	4
700	7	700	32	4
700	23	700	33	4
700	54	700	34	4
700	6	700	35	4
700	3	700	36	4
700	11	700	37	4
700	27	700	38	4
700	4	700	39	4
700	9	700	40	4
980	19	980	41	5
980	39	980	42	5
980	17	980	43	5
980	6	980	44	5
980	1	980	45	5
980	12	980	46	5
980	7	980	47	5
980	1	980	48	5
980	27	980	49	5
980	101	980	50	5
-
210	2	210	1	1
210	1	210	2	1
210	1	210	3	1
210	12	210	4	1
210	1	210	5	1
210	1	210	6	1
210	6	210	7	1
210	4	210	8	1
210	9	210	9	1
210	7	210	10	1
240	4	240	11	2
240	8	240	12	2
240	1	240	13	2
240	16	240	14	2
240	10	240	15	2
240	5	240	16	2
240	6	240	17	2
240	6	240	18	2
240	1	240	19	2
240	23	240	20	2
420	12	420	21	3
420	4	420	22	3
420	6	420	23	3
420	5	420	24	3
420	2	420	25	3
420	5	420	26	3
420	14	420	27	3
420	7	420	28	3
420	15	420	29	3
420	4	420	30	3
420	37	420	31	4
420	6	420	32	4
420	1	420	33	4
420	2	420	34	4
420	3	420	35	4
420	11	420	36	4
420	13	420	37	4
420	5	420	38	4
420	5	420	39	4
420	29	420	40	4
820	46	820	41	5
820	1	820	42	5
820	1	820	43	5
820	7	820	44	5
820	17	820	45	5
820	30	820	46	5
820	3	820	47	5
820	7	820	48	5
820	26	820	49	5
820	49	820	50	5
-
260	1	260	1	1
260	2	260	2	1
260	18	260	3	1
260	1	260	4	1
260	5	260	5	1
260	5	260	6	1
260	4	260	7	1
260	1	260	8	1
260	5	260	9	1
260	4	260	10	1
260	2	260	11	2
260	3	260	12	2
260	2	260	13	2
260	5	260	14	2
260	11	260	15	2
260	9	260	16	2
260	9	260	17	2
260	8	260	18	2
260	1	260	19	2
260	1	260	20	2
280	1	280	21	3
280	1	280	22	3
280	1	280	23	3
280	6	280	24	3
280	6	280	25	3
280	10	280	26	3
280	3	280	27	3
280	10	280	28	3
280	5	280	29	3
280	11	280	30	3
520	14	520	31	4
520	20	520	32	4
520	6	520	33	4
520	69	520	34	4
520	4	520	35	4
520	23	520	36	4
520	28	520	37	4
520	11	520	38	4
520	20	520	39	4
520	26	520	40	4
600	21	600	41	5
600	10	600	42	5
600	1	600	43	5
600	25	600	44	5
600	7	600	45	5
600	17	600	46	5
600	8	600	47	5
600	7	600	48	5
600	4	600	49	5
600	30	600	50	5
-
100	8	100	1	1
100	1	100	2	1
100	1	100	3	1
100	2	100	4	1
100	2	100	5	1
100	1	100	6	1
100	2	100	7	1
100	1	100	8	1
100	8	100	9	1
100	1	100	10	1
100	1	100	11	2
100	3	100	12	2
100	4	100	13	2
100	1	100	14	2
100	1	100	15	2
100	1	100	16	2
100	2	100	17	2
100	1	100	18	2
100	2	100	19	2
100	2	100	20	2
700	29	700	21	3
700	3	700	22	3
700	2	700	23	3
700	45	700	24	3
700	14	700	25	3
700	23	700	26	3
700	7	700	27	3
700	67	700	28	3
700	29	700	29	3
700	5	700	30	3
700	5	700	31	4
700	103	700	32	4
700	2	700	33	4
700	7	700	34	4
700	26	700	35	4
700	4	700	36	4
700	17	700	37	4
700	12	700	38	4
700	7	700	39	4
700	9	700	40	4
940	2	940	41	5
940	84	940	42	5
940	35	940	43	5
940	8	940	44	5
940	2	940	45	5
940	6	940	46	5
940	2	940	47	5
940	22	940	48	5
940	10	940	49	5
940	1	940	50	5
-
50	1	50	1	1
50	1	50	2	1
50	2	50	3	1
50	1	50	4	1
50	1	50	5	1
50	1	50	6	1
50	1	50	7	1
50	1	50	8	1
50	2	50	9	1
50	1	50	10	1
70	1	70	11	2
70	4	70	12	2
70	1	70	13	2
70	1	70	14	2
70	1	70	15	2
70	1	70	16	2
70	4	70	17	2
70	1	70	18	2
70	2	70	19	2
70	7	70	20	2
90	1	90	21	3
90	1	90	22	3
90	1	90	23	3
90	2	90	24	3
90	3	90	25	3
90	2	90	26	3
90	3	90	27	3
90	1	90	28	3
90	3	90	29	3
90	4	90	30	3
700	15	700	31	4
700	55	700	32	4
700	4	700	33	4
700	31	700	34	4
700	6	700	35	4
700	23	700	36	4
700	17	700	37	4
700	36	700	38	4
700	5	700	39	4
700	2	700	40	4
840	26	840	41	5
840	4	840	42	5
840	33	840	43	5
